Time, Value
15:59:01, 124
15:59:01, 92
15:59:01, 99
15:59:01, 121
15:59:01, 132
15:59:01, 117
15:59:01, 86
15:59:01, 50
15:59:01, -21
15:59:01, -20
15:59:01, 48
15:59:01, 108
15:59:01, 136
15:59:01, 131
15:59:01, 103
15:59:01, 114
15:59:01, 152
15:59:01, 183
15:59:01, 137
15:59:01, 92
15:59:01, 97
15:59:01, 112
15:59:01, 137
15:59:01, 68
15:59:01, -24
15:59:01, -40
15:59:01, 19
15:59:01, 101
15:59:01, 136
15:59:01, 106
15:59:01, 81
15:59:01, 92
15:59:01, 117
15:59:01, 112
15:59:01, 102
15:59:01, 130
15:59:01, 98
15:59:01, 13
15:59:01, -19
15:59:01, 44
15:59:01, 138
15:59:01, 172
15:59:01, 83
15:59:01, -5
15:59:01, 58
15:59:01, 183
15:59:01, 205
15:59:01, 90
15:59:01, -4
15:59:01, 28
15:59:01, 112
15:59:01, 145
15:59:01, 144
15:59:01, 132
15:59:01, 104
15:59:01, 69
15:59:01, 92
15:59:01, 203
15:59:01, 154
15:59:01, -69
15:59:01, -132
15:59:01, -59
15:59:01, -23
15:59:01, -51
15:59:01, 3
15:59:01, 145
15:59:01, 176
15:59:01, 152
15:59:01, 115
15:59:01, 45
15:59:01, 101
15:59:01, 201
15:59:01, 218
15:59:01, 149
15:59:01, 7
15:59:01, 11
15:59:01, 26
15:59:01, -36
15:59:01, 72
15:59:01, 119
15:59:01, 33
15:59:01, -46
15:59:01, -44
15:59:01, 59
15:59:01, 100
15:59:01, 24
15:59:01, -57
15:59:01, 52
15:59:01, 193
15:59:01, 19
15:59:01, -165
15:59:01, -157
15:59:01, -37
15:59:01, 5
15:59:01, -119
15:59:01, -295
15:59:01, -299
15:59:01, -195
15:59:01, -276
15:59:01, -218
15:59:01, -213
15:59:01, -317
15:59:01, -370
15:59:01, -362
15:59:01, -295
15:59:01, -238
15:59:01, -198
15:59:01, -228
15:59:01, -195
15:59:01, -117
15:59:01, -227
15:59:01, -425
15:59:01, -485
15:59:01, -374
15:59:01, -232
15:59:01, -258
15:59:01, -219
15:59:01, -261
15:59:01, -443
15:59:01, -429
15:59:01, -286
15:59:01, -279
15:59:01, -387
15:59:01, -196
15:59:01, 8
15:59:01, -227
15:59:01, -513
15:59:01, -465
15:59:01, -300
15:59:01, -132
15:59:01, 137
15:59:01, 269
15:59:01, -29
15:59:01, -313
15:59:01, -232
15:59:01, 42
15:59:01, 236
15:59:01, -29
15:59:01, -157
15:59:01, -84
15:59:01, -146
15:59:01, -145
15:59:01, -52
15:59:01, 131
15:59:01, 193
15:59:01, 90
15:59:01, -8
15:59:01, 5
15:59:01, 103
15:59:01, 131
15:59:01, 96
15:59:01, 215
15:59:01, 330
15:59:01, 401
15:59:01, 234
15:59:01, -29
15:59:01, -88
15:59:01, 100
15:59:01, 346
15:59:01, 378
15:59:01, 232
15:59:01, 69
15:59:01, 29
15:59:01, 55
15:59:01, 169
15:59:01, 253
15:59:01, 203
15:59:01, 8
15:59:01, -122
15:59:01, -72
15:59:01, -14
15:59:01, 68
15:59:01, 104
15:59:01, -59
15:59:01, -212
15:59:01, -397
15:59:01, -265
15:59:01, -122
15:59:01, -183
15:59:01, -179
15:59:01, -75
15:59:01, -275
15:59:01, -421
15:59:01, -236
15:59:01, -152
15:59:01, -154
15:59:01, -13
15:59:01, 172
15:59:01, 201
15:59:01, 272
15:59:01, 132
15:59:01, -189
15:59:01, -267
15:59:01, -51
15:59:01, 167
15:59:01, 121
15:59:01, -54
15:59:01, -107
15:59:01, -147
15:59:01, -212
15:59:01, -225
15:59:01, -157
15:59:01, -89
15:59:01, 41
15:59:01, 138
15:59:01, 57
15:59:01, 91
15:59:01, 196
15:59:01, 328
15:59:01, 454
15:59:01, 375
15:59:01, 298
15:59:01, 461
15:59:01, 588
15:59:01, 497
15:59:01, 359
15:59:01, 258
15:59:01, 176
15:59:01, 185
15:59:01, 451
15:59:01, 649
15:59:01, 571
15:59:01, 422
15:59:01, 288
15:59:01, 279
15:59:01, 347
15:59:01, 374
15:59:01, 308
15:59:01, 163
15:59:01, 54
15:59:01, 132
15:59:01, 197
15:59:01, 241
15:59:01, 279
15:59:01, 291
15:59:01, 299
15:59:01, 483
15:59:01, 583
15:59:01, 541
15:59:01, 491
15:59:01, 523
15:59:01, 481
15:59:01, 295
15:59:01, 259
15:59:01, 395
15:59:01, 620
15:59:01, 534
15:59:01, 372
15:59:01, 348
15:59:01, 276
15:59:01, 340
15:59:01, 313
15:59:01, 326
15:59:01, 327
15:59:01, 213
15:59:01, 236
15:59:01, 360
15:59:01, 345
15:59:01, 217
15:59:01, 117
15:59:01, 69
15:59:01, 72
15:59:01, 186
15:59:01, 179
15:59:01, 128
15:59:01, 138
15:59:01, 152
15:59:01, 268
15:59:01, 330
15:59:01, 266
15:59:01, 369
15:59:01, 455
15:59:01, 279
15:59:01, 170
15:59:01, 198
15:59:01, 252
15:59:01, 306
15:59:01, 263
15:59:01, 215
15:59:01, 134
15:59:01, 37
15:59:01, 76
15:59:01, 157
15:59:01, 201
15:59:01, 220
15:59:01, 148
15:59:01, 42
15:59:01, 10
15:59:01, 21
15:59:01, 64
15:59:01, 121
15:59:01, 135
15:59:01, 124
15:59:01, 102
15:59:01, 73
15:59:01, 84
15:59:01, 106
15:59:01, 61
15:59:01, 54
15:59:01, 56
15:59:01, 75
15:59:01, 122
15:59:01, 114
15:59:01, 53
15:59:01, -55
15:59:01, -61
15:59:01, 11
15:59:01, 107
15:59:01, 138
15:59:01, 99
15:59:01, 73
15:59:01, 109
15:59:01, 194
15:59:01, 232
15:59:01, 179
15:59:01, 115
15:59:01, 84
15:59:01, 88
15:59:01, 131
15:59:01, 166
15:59:01, 173
15:59:01, 151
15:59:01, 112
15:59:01, 108
15:59:01, 87
15:59:01, 50
15:59:01, 86
15:59:01, 205
15:59:01, 264
15:59:01, 211
15:59:01, 108
15:59:01, 44
15:59:01, 38
15:59:01, 74
15:59:01, 135
15:59:01, 193
15:59:01, 202
15:59:01, 136
15:59:01, 52
15:59:01, 36
15:59:01, 48
15:59:01, 56
15:59:01, 98
15:59:01, 107
15:59:01, 72
15:59:01, 61
15:59:01, 87
15:59:01, 90
15:59:01, 48
15:59:01, 12
15:59:01, 11
15:59:01, 25
15:59:01, 49
15:59:01, 60
15:59:01, -2
15:59:01, -61
15:59:01, -40
15:59:01, 24
15:59:01, 57
15:59:01, 48
15:59:01, 35
15:59:01, -1
15:59:01, -13
15:59:01, -17
15:59:01, -11
15:59:01, 0
15:59:01, 16
15:59:01, 36
15:59:01, 34
15:59:01, -7
15:59:01, -40
15:59:01, -7
15:59:01, 36
15:59:01, 52
15:59:01, 37
15:59:01, -1
15:59:01, -2
15:59:01, 16
15:59:01, 19
15:59:01, 10
15:59:01, 1
15:59:01, 1
15:59:01, 8
15:59:01, 0
15:59:01, 0
15:59:01, 21
15:59:01, 1
15:59:01, -6
15:59:01, 18
15:59:01, 4
15:59:01, -4
15:59:01, 1
15:59:01, -7
15:59:01, -24
15:59:01, -45
15:59:01, -40
15:59:01, -8
15:59:01, 32
15:59:01, 16
15:59:01, -36
15:59:01, -40
15:59:01, -22
15:59:01, -7
15:59:01, 2
15:59:01, 5
15:59:01, 0
15:59:01, -27
15:59:01, -53
15:59:01, -19
15:59:01, 34
15:59:01, 19
15:59:01, -41
15:59:01, -70
15:59:01, -30
15:59:01, 12
15:59:01, 19
15:59:01, -40
15:59:01, -81
15:59:01, -76
15:59:01, -58
15:59:01, -34
15:59:01, -33
15:59:01, -40
15:59:01, -57
15:59:01, -76
15:59:01, -82
15:59:01, -65
15:59:01, -10
15:59:01, 43
15:59:01, 35
15:59:01, -21
15:59:01, -49
15:59:01, -8
15:59:01, 6
15:59:01, -10
15:59:01, -23
15:59:01, -8
15:59:01, 25
15:59:01, 28
15:59:01, -3
15:59:01, -28
15:59:01, -45
15:59:01, -34
15:59:01, -12
15:59:01, -6
15:59:01, -21
15:59:01, -58
15:59:01, -89
15:59:01, -89
15:59:01, -87
15:59:01, -60
15:59:01, -8
15:59:01, 26
15:59:01, -6
15:59:01, -33
15:59:01, -11
15:59:01, 11
15:59:01, 21
15:59:01, -10
15:59:01, -50
15:59:01, -42
15:59:01, -14
15:59:01, 7
15:59:01, 13
15:59:01, 12
15:59:01, 6
15:59:01, 27
15:59:01, 81
15:59:01, 85
15:59:01, 43
15:59:01, 26
15:59:01, 23
15:59:01, 11
15:59:01, 3
15:59:01, 3
15:59:01, 18
15:59:02, 19
15:59:02, 3
15:59:02, -20
15:59:02, -21
15:59:02, 7
15:59:02, -17
15:59:02, -68
15:59:02, -94
15:59:02, -88
15:59:02, -57
15:59:02, -4
15:59:02, 56
15:59:02, 37
15:59:02, -29
15:59:02, -37
15:59:02, 7
15:59:02, 39
15:59:02, 50
15:59:02, 52
15:59:02, 71
15:59:02, 52
15:59:02, -2
15:59:02, -27
15:59:02, -21
15:59:02, -30
15:59:02, -53
15:59:02, -52
15:59:02, -37
15:59:02, -24
15:59:02, -42
15:59:02, -68
15:59:02, -61
15:59:02, -62
15:59:02, -61
15:59:02, -49
15:59:02, -21
15:59:02, 16
15:59:02, -3
15:59:02, -59
15:59:02, -102
15:59:02, -109
15:59:02, -106
15:59:02, -88
15:59:02, -69
15:59:02, -62
15:59:02, -67
15:59:02, -54
15:59:02, -36
15:59:02, -59
15:59:02, -89
15:59:02, -90
15:59:02, -73
15:59:02, -53
15:59:02, -70
15:59:02, -99
15:59:02, -108
15:59:02, -88
15:59:02, -76
15:59:02, -71
15:59:02, -58
15:59:02, -56
15:59:02, -91
15:59:02, -110
15:59:02, -69
15:59:02, -7
15:59:02, 12
15:59:02, 17
15:59:02, 24
15:59:02, 45
15:59:02, 68
15:59:02, 75
15:59:02, 71
15:59:02, 69
15:59:02, 56
15:59:02, 39
15:59:02, 28
15:59:02, 37
15:59:02, 35
15:59:02, 21
15:59:02, 23
15:59:02, 53
15:59:02, 93
15:59:02, 105
15:59:02, 80
15:59:02, 60
15:59:02, 64
15:59:02, 42
15:59:02, 10
15:59:02, 11
15:59:02, 25
15:59:02, 23
15:59:02, -2
15:59:02, -19
15:59:02, 5
15:59:02, 42
15:59:02, 50
15:59:02, 32
15:59:02, -1
15:59:02, 4
15:59:02, 36
15:59:02, 38
15:59:02, 7
15:59:02, -22
15:59:02, -12
15:59:02, 27
15:59:02, 17
15:59:02, -66
15:59:02, -91
15:59:02, -36
15:59:02, 27
15:59:02, 28
15:59:02, -2
15:59:02, 12
15:59:02, 75
15:59:02, 134
15:59:02, 145
15:59:02, 116
15:59:02, 101
15:59:02, 116
15:59:02, 138
15:59:02, 140
15:59:02, 112
15:59:02, 86
15:59:02, 54
15:59:02, 23
15:59:02, 40
15:59:02, 66
15:59:02, 80
15:59:02, 100
15:59:02, 98
15:59:02, 58
15:59:02, 33
15:59:02, 70
15:59:02, 116
15:59:02, 117
15:59:02, 91
15:59:02, 69
15:59:02, 65
15:59:02, 58
15:59:02, 52
15:59:02, 65
15:59:02, 76
15:59:02, 66
15:59:02, 42
15:59:02, 39
15:59:02, 38
15:59:02, 16
15:59:02, 28
15:59:02, 61
15:59:02, 53
15:59:02, 3
15:59:02, -12
15:59:02, 5
15:59:02, 28
15:59:02, 45
15:59:02, 57
15:59:02, 59
15:59:02, 68
15:59:02, 98
15:59:02, 115
15:59:02, 92
15:59:02, 80
15:59:02, 85
15:59:02, 73
15:59:02, 57
15:59:02, 70
15:59:02, 84
15:59:02, 65
15:59:02, 9
15:59:02, -17
15:59:02, 3
15:59:02, 18
15:59:02, 38
15:59:02, 49
15:59:02, 53
15:59:02, 60
15:59:02, 75
15:59:02, 97
15:59:02, 113
15:59:02, 117
15:59:02, 115
15:59:02, 68
15:59:02, 60
15:59:02, 125
15:59:02, 184
15:59:02, 154
15:59:02, 99
15:59:02, 89
15:59:02, 105
15:59:02, 101
15:59:02, 71
15:59:02, 70
15:59:02, 117
15:59:02, 147
15:59:02, 120
15:59:02, 83
15:59:02, 81
15:59:02, 98
15:59:02, 93
15:59:02, 86
15:59:02, 82
15:59:02, 82
15:59:02, 84
15:59:02, 90
15:59:02, 80
15:59:02, 37
15:59:02, -2
15:59:02, -12
15:59:02, 0
15:59:02, 29
15:59:02, 60
15:59:02, 75
15:59:02, 97
15:59:02, 67
15:59:02, 23
15:59:02, 33
15:59:02, 73
15:59:02, 90
15:59:02, 50
15:59:02, -6
15:59:02, -27
15:59:02, -5
15:59:02, 29
15:59:02, 40
15:59:02, 36
15:59:02, 45
15:59:02, 51
15:59:02, 35
15:59:02, 37
15:59:02, 70
15:59:02, 87
15:59:02, 61
15:59:02, 28
15:59:02, -4
15:59:02, -26
15:59:02, -27
15:59:02, -52
15:59:02, -77
15:59:02, -36
15:59:02, 38
15:59:02, 57
15:59:02, -35
15:59:02, -115
15:59:02, -107
15:59:02, -42
15:59:02, 21
15:59:02, 11
15:59:02, -3
15:59:02, -13
15:59:02, -34
15:59:02, -10
15:59:02, 25
15:59:02, 51
15:59:02, 66
15:59:02, 73
15:59:02, 51
15:59:02, 17
15:59:02, 21
15:59:02, 50
15:59:02, 97
15:59:02, 88
15:59:02, 60
15:59:02, 68
15:59:02, 71
15:59:02, 49
15:59:02, 59
15:59:02, 106
15:59:02, 88
15:59:02, 38
15:59:02, 49
15:59:02, 105
15:59:02, 119
15:59:02, 72
15:59:02, 84
15:59:02, 124
15:59:02, 77
15:59:02, 26
15:59:02, 28
15:59:02, 42
15:59:02, 65
15:59:02, 80
15:59:02, 70
15:59:02, 69
15:59:02, 114
15:59:02, 91
15:59:02, 67
15:59:02, 43
15:59:02, 65
15:59:02, 71
15:59:02, 49
15:59:02, 2
15:59:02, -27
15:59:02, -4
15:59:02, 50
15:59:02, 86
15:59:02, 101
15:59:02, 102
15:59:02, 104
15:59:02, 103
15:59:02, 77
15:59:02, 29
15:59:02, 4
15:59:02, 32
15:59:02, 56
15:59:02, 55
15:59:02, 50
15:59:02, 52
15:59:02, 50
15:59:02, 37
15:59:02, 29
15:59:02, 44
15:59:02, 90
15:59:02, 113
15:59:02, 89
15:59:02, 65
15:59:02, 61
15:59:02, 107
15:59:02, 144
15:59:02, 139
15:59:02, 116
15:59:02, 112
15:59:02, 104
15:59:02, 68
15:59:02, 40
15:59:02, 22
15:59:02, 9
15:59:02, 20
15:59:02, 51
15:59:02, 86
15:59:02, 100
15:59:02, 99
15:59:02, 100
15:59:02, 92
15:59:02, 82
15:59:02, 66
15:59:02, 57
15:59:02, 53
15:59:02, 27
15:59:02, -2
15:59:02, -8
15:59:02, 11
15:59:02, 52
15:59:02, 45
15:59:02, 42
15:59:02, 71
15:59:02, 87
15:59:02, 89
15:59:02, 98
15:59:02, 84
15:59:02, 58
15:59:02, 73
15:59:02, 116
15:59:02, 134
15:59:02, 89
15:59:02, 20
15:59:02, -5
15:59:02, 41
15:59:02, 83
15:59:02, 55
15:59:02, 1
15:59:02, -9
15:59:02, 2
15:59:02, -5
15:59:02, 24
15:59:02, 80
15:59:02, 85
15:59:02, 43
15:59:02, 17
15:59:02, 36
15:59:02, 68
15:59:02, 90
15:59:02, 96
15:59:02, 77
15:59:02, 58
15:59:02, 77
15:59:02, 96
15:59:02, 67
15:59:02, 43
15:59:02, 44
15:59:02, 74
15:59:02, 75
15:59:02, 45
15:59:02, 24
15:59:02, 43
15:59:02, 76
15:59:02, 89
15:59:02, 86
15:59:02, 82
15:59:02, 71
15:59:02, 33
15:59:02, -3
15:59:02, -49
15:59:02, -43
15:59:02, 21
15:59:02, 67
15:59:02, 50
15:59:02, 26
15:59:02, 27
15:59:02, 67
15:59:02, 105
15:59:02, 113
15:59:02, 109
15:59:02, 119
15:59:02, 97
15:59:02, 41
15:59:02, -6
15:59:02, -2
15:59:02, 32
15:59:02, 81
15:59:02, 117
15:59:02, 98
15:59:02, 69
